Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         545.77218  ,         545.77218  
Fe II     ,         546.0504   ,         546.05022  
Fe I      ,         546.32759  ,         546.32750  
Fe I      ,         546.42792  ,         546.42796  
          ,                    ,                    
Fe II     ,         546.59322  ,         546.59320  
Fe I      ,         547.00936  ,         547.00922  
Fe I      ,         547.27087  ,         547.27085  
Fe II     ,         547.28544  ,         547.28544  
Fe II     ,         547.35808  ,         547.35807  
          ,                    ,                    
Fe I      ,         547.39001  ,         547.39005  
Fe II     ,         547.51828  ,         547.51833  
Fe II     ,         547.58260  ,         547.58263  
Fe I      ,         547.62882  ,         547.62888  
Fe I      ,         547.65639  ,         547.65642  
          ,                    ,                    
Fe II     ,         547.8318   ,         547.83193  
Fe II     ,         547.93988  ,         547.93984  
Fe I      ,         548.08604  ,         548.08602  
Fe II     ,         548.09568  ,         548.09561  
Fe I      ,         548.12427  ,         548.12427  
          ,                    ,                    
Fe II     ,         548.12714  ,         548.12725  
Fe I      ,         548.14383  ,         548.14381  
Fe II     ,         548.23051  ,         548.23056  
Fe I      ,         548.30985  ,         548.30985  
Fe II     ,         548.73945  ,         548.73936  
          ,                    ,                    
Fe II     ,         548.76181  ,         548.76177  
Fe II     ,         548.80827  ,         548.80810  
Fe II     ,         548.87748  ,         548.87750  
Fe II     ,         549.20782  ,         549.20786  
Fe II     ,         549.23979  ,         549.23978  
          ,                    ,                    
Fe II     ,         549.2676   ,         549.26739  
Fe I      ,                    ,         549.33216  
Fe II     ,         549.38306  ,         549.38309  
Fe II     ,         549.85739  ,         549.85741  
Fe II     ,         549.9609   ,         549.96125  
          ,                    ,                    
Fe II     ,         550.10198  ,         550.10206  
Fe II     ,         550.26698  ,         550.26696  
Fe II     ,         550.32150  ,         550.32151  
Fe II     ,         550.33593  ,         550.33597  
Fe II     ,         550.38934  ,         550.38941  
          ,                    ,                    
Fe II     ,         550.61985  ,         550.61986  
Fe II     ,         550.70704  ,         550.70710  
Fe II     ,         551.0639   ,         551.06402  
Fe II     ,         551.07831  ,         551.07833  
Fe II     ,         551.10870  ,         551.10874  
          ,                    ,                    
Fe I      ,         552.24461  ,         552.24459  
Fe I      ,         552.55439  ,         552.55434  
Fe II     ,         552.90523  ,         552.90526  
Fe II     ,         553.03373  ,         553.03363  
Fe II     ,         553.20859  ,         553.20858  
          ,                    ,                    
Fe II     ,         553.48936  ,         553.48929  
Fe I      ,         553.54175  ,         553.54179  
Fe I      ,         554.39353  ,         554.39354  
Fe II     ,         554.42006  ,         554.42013  
Fe II     ,         554.47580  ,         554.47582  
          ,                    ,                    
Fe I      ,         554.65055  ,         554.65052  
Fe II     ,         554.8143   ,         554.81437  
Fe II     ,         554.82308  ,         554.82306  
Fe II     ,         554.90005  ,         554.90002  
Fe I      ,         555.79818  ,         555.79822  
          ,                    ,                    
Fe II     ,         555.82860  ,         555.82856  
Fe II     ,         555.97962  ,         555.97944  
Fe I      ,         556.02112  ,         556.02110  
Fe II     ,         556.11381  ,         556.11382  
Fe II     ,         556.15241  ,         556.15256  
          ,                    ,                    
Fe II     ,         556.33876  ,         556.33878  
Fe I      ,         556.35999  ,         556.35996  
Fe I      ,         556.96177  ,         556.96178  
Fe II     ,         557.02758  ,         557.02785  
Fe II     ,         557.1521   ,         557.15265  
          ,                    ,                    
Fe I      ,         557.28420  ,         557.28421  
Fe I      ,         557.31021  ,         557.31018  
Fe II     ,         557.50138  ,         557.50150  
Fe I      ,         557.60884  ,         557.60891  
Fe II     ,         557.79121  ,         557.79122  
          ,                    ,                    
Fe II     ,         557.80077  ,         557.80084  
Fe II     ,         557.99258  ,         557.99259  
Fe II     ,         558.16254  ,         558.16235  
Fe II     ,         558.39446  ,         558.39449  
Fe I      ,         558.67555  ,         558.67553  
          ,                    ,                    
Fe II     ,         558.80334  ,         558.80325  
Fe II     ,         558.82212  ,         558.82208  
Fe II     ,         559.4561   ,         559.45645  
Fe I      ,         559.46549  ,         559.46550  
Fe I      ,         560.02238  ,         560.02242  
          ,                    ,                    
Fe I      ,         560.27670  ,         560.27673  
Fe I      ,         560.29447  ,         560.29448  
Fe I      ,         561.56435  ,         561.56436  
Fe I      ,         561.86324  ,         561.86321  
Fe I      ,         562.45418  ,         562.45418  
          ,                    ,                    
Fe II     ,         562.9870   ,         562.98660  
Fe I      ,         563.39461  ,         563.39459  
Fe I      ,         563.82618  ,         563.82618  
Fe II     ,         563.9684   ,         563.96833  
Fe I      ,         564.14336  ,         564.14340  
          ,                    ,                    
Fe II     ,         564.38695  ,         564.38685  
Fe II     ,         564.53901  ,         564.53900  
Fe II     ,         564.62271  ,         564.62263  
Fe II     ,         564.88996  ,         564.88996  
Fe I      ,         564.99869  ,         564.99867  
          ,                    ,                    
Fe I      ,         565.0705   ,         565.07052  
Fe II     ,         565.15238  ,         565.15236  
Fe II     ,         565.1637   ,         565.16338  
Fe I      ,         565.51761  ,         565.51761  
Fe II     ,         565.5347   ,         565.53451  
          ,                    ,                    
Fe I      ,         565.86575  ,         565.86572  
Fe I      ,         565.88160  ,         565.88161  
Fe II     ,         566.01407  ,         566.01399  
Fe I      ,         566.13451  ,         566.13445  
Fe I      ,         566.25158  ,         566.25159  
          ,                    ,                    
Fe II     ,         566.86318  ,         566.86305  
Fe II     ,         567.52524  ,         567.52539  
Fe I      ,         567.90226  ,         567.90233  
Fe I      ,         568.65298  ,         568.65296  
Fe II     ,         569.09956  ,         569.09949  
          ,                    ,                    
Fe I      ,         569.14967  ,         569.14964  
Fe II     ,         570.32567  ,         570.32578  
Fe I      ,         570.54642  ,         570.54640  
Fe I      ,         570.59918  ,         570.59918  
Fe I      ,         570.93779  ,         570.93776  
          ,                    ,                    
Fe I      ,         571.18483  ,         571.18483  
Fe II     ,         571.50980  ,         571.50953  
Fe I      ,         571.78325  ,         571.78322  
Fe II     ,         571.9448   ,         571.94502  
Fe II     ,         572.65532  ,         572.65527  
          ,                    ,                    
Fe II     ,         573.0091   ,         573.00910  
Fe II     ,         573.01834  ,         573.01771  
Fe I      ,         573.17619  ,         573.17616  
Fe II     ,         573.7534   ,         573.75315  
